State,County,Uninsured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
CO,Adams County,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.792,0.301,4.722,415.7,62.9,13.48,0.038,0.19,0.771,0.445,469193,0.074,0.036,0.07,178.8,335,6.7,44.4,0.138,0.045,9.55,17.56,0.265,0.122,9772,0.172,123,54876,0.459,4.4,
CO,Alamosa County,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,,338.67,85.1,12.45,0,0.201,0.762,0.139,16148,0.018,0.369,0.065,78,365.9,,64.2,0.152,0.027,20.59,13.1,0.238,0.111,7295,0.196,149,37731,0.561,,0.178
CO,Alamosa County,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.798,0.353,13.005,365.87,84.7,12.45,0.004,0.186,0.764,0.149,16253,0.024,0.369,0.071,78,400.5,,,0.151,0.027,23.09,15.7,0.22,0.108,7237,0.196,154,37484,0.578,,
CO,Arapahoe County,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,342.01,58,13.39,0.036,0.175,0.783,0.38,595546,0.049,0.016,0.06,222.3,273.6,6.1,55.7,0.15,0.035,8.65,15.11,0.203,0.117,9264,0.131,78,60525,0.319,4.13,0.182
CO,Arapahoe County,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.382,0.309,7.657,322.72,59.1,13.39,0,0.178,0.781,0.387,607070,0.045,0.016,0.061,222.3,258.8,6.7,46.3,0.149,0.035,7.08,15.53,0.207,0.102,9543,0.131,84,61092,0.313,3.7,
CO,Archuleta County,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,245.12,74.1,11.46,0,0.159,0.725,0.161,12070,0.004,0.594,0.065,,257.8,,,0.123,0.077,22.76,,0.227,0.129,7793,0.194,41,46127,0.402,,0.132
CO,Archuleta County,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.074,0.332,14.913,216.57,72.6,11.46,0,0.153,0.696,0.148,12194,0.002,0.594,0.063,,217.7,,,0.13,0.077,20.05,,0.236,0.134,6665,0.194,57,44417,0.399,,
CO,Baca County,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211,,262.81,172.2,12.97,0.01,0.122,0.678,0.116,3751,0.005,1,0.077,,516,,,0.119,0.083,55.1,,0.25,0.135,8647,0.12,53,37775,0.396,,
CO,Baca County,0.213,,,0.1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.654,0.244,13.33,121.85,153.4,12.97,0.026,0.128,0.662,0.112,3682,0.005,1,0.083,,484.9,,,0.126,0.083,63.66,,0.243,0.14,9422,0.12,81,35787,0.383,,
CO,Bent County,0.174,,,0.1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,,111.83,,13.57,0,0.168,0.744,0.214,5773,0.037,0.38,0.064,,478.7,,,0.159,0.127,,,0.208,0.094,8665,,69,33540,0.592,,
CO,Bent County,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.667,0.336,12.125,162.19,64.7,13.57,0,0.19,0.78,0.213,5688,0.038,0.38,0.07,,428.3,,,0.165,0.127,,,0.206,0.089,8894,,70,34440,0.601,,
CO,Boulder County,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,215.63,63.5,13.44,0.017,0.203,0.655,0.26,305318,0.031,0.089,0.047,182.1,221.1,4.7,42,0.133,0.028,8.46,13.43,0.168,0.093,8524,0.112,70,66894,0.218,1.29,0.138
CO,Boulder County,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.177,0.238,9.433,192.79,63.4,13.44,0.058,0.202,0.645,0.269,310048,0.028,0.089,0.047,182.1,207.5,5.1,36.8,0.137,0.028,7.45,13.43,0.154,0.083,8514,0.112,78,71405,0.172,1.2,
CO,Broomfield County,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,,70.7,50.4,,0,0.139,0.77,0.382,58298,0.02,0.006,0.055,64.8,252.4,,40.4,0.116,0.013,7.32,10.41,0.132,0.062,8425,0.101,38,81040,0.155,2.81,0.162
CO,Broomfield County,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041,0.21,6.518,61.44,49.7,,0,0.15,0.773,0.386,59471,0.021,0.006,0.059,64.8,244.4,5.4,43.5,0.12,0.013,6.06,10.53,0.122,0.054,9093,0.101,39,79117,,3.5,
CO,Chaffee County,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,86.74,104.9,12.07,0.004,0.143,0.715,0.161,18150,0.013,0.374,0.06,65.6,289.2,,,0.125,0.019,21.34,16.41,0.216,0.129,7785,0.197,55,44651,0.269,,0.144
CO,Chaffee County,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.668,0.321,22.59,75.77,82.9,12.07,0.007,0.138,0.716,0.163,18510,0.012,0.374,0.07,65.6,280.3,,,0.13,0.019,19.39,13.73,0.208,0.116,7733,0.197,65,48012,0.32,,
CO,Cheyenne County,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,0,,13.63,0,0.066,0.733,0.162,1874,0.013,1,0.075,,376.8,,,0.088,0.116,,,0.24,0.202,8976,,53,51093,0.248,,
CO,Cheyenne County,0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.463,0.113,16.009,35.68,150.4,13.63,0,0.08,0.7,0.134,1890,0.013,1,0.071,,421.1,,,0.104,0.116,84.07,,0.263,0.174,9385,,106,50379,0.273,,
CO,Clear Creek County,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,369.17,90.3,12.99,0.008,0.199,0.731,0.489,9026,0.004,1,0.055,211.6,331.7,,,0.109,0.024,20.4,,0.141,0.101,9557,0.165,22,65359,0.185,,0.169
CO,Clear Creek County,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.434,0.167,6.647,319.09,68.5,12.99,0.009,0.165,0.706,0.52,9031,0.005,1,0.067,211.6,262.4,,,0.126,0.024,18.91,,0.135,0.088,7138,0.165,22,63489,0.192,,
CO,Conejos County,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,95,11.88,0.211,0.188,0.683,0.393,8275,0.019,1,0.061,,382.6,,,0.131,0.022,22.51,20.78,0.263,0.144,8470,0.235,60,31970,0.549,,
CO,Conejos County,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,0.25,3.625,35.69,114.2,11.88,0.216,0.17,0.736,0.404,8277,0.024,1,0.069,,422.7,,,0.127,0.022,22.56,27.76,0.244,0.117,8326,0.235,60,34923,0.51,,
CO,Costilla County,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,,,164.1,12.29,0.158,0.213,0.713,0.323,3594,0.068,1,0.078,,356,,,0.164,0.553,52.22,,0.328,0.174,6282,0.238,28,26075,0.695,,
CO,Costilla County,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.984,0.423,5.565,161.59,163,12.29,0.023,0.245,0.725,0.302,3518,0.061,1,0.082,,400.7,,,0.147,0.553,56.15,,0.322,0.154,7689,0.238,28,28233,0.756,,
CO,Crowley County,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,43.98,,13.43,0.031,0.142,0.728,0.276,5365,0.045,1,0.063,,288,,,0.155,0.3,34.26,,0.212,0.102,9761,,75,30460,0.604,,
CO,Crowley County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.409,0.377,7.456,102.49,62.8,13.43,0.074,0.148,0.772,0.341,5322,0.042,1,0.066,,259.9,,,0.162,0.3,27.11,,0.213,0.094,7676,,56,31477,0.61,,
CO,Custer County,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346,,213.47,,12.64,0,0.192,0.716,0.464,4249,0,1,0.079,,234,,,0.112,0.082,,,0.238,0.167,6139,0.196,94,46744,0.297,,0.156
CO,Custer County,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,0.336,30.595,194.6,80.9,12.64,0,0.186,0.689,0.515,4285,0,1,0.079,,163.9,,,0.132,0.082,,,0.224,0.147,7404,0.196,93,47268,0.339,,
CO,Delta County,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,217.78,94.3,11.51,0.034,0.156,0.711,0.304,30432,0.017,0.632,0.076,34.4,338.5,,65.7,0.143,0.017,23.65,13.24,0.247,0.141,7130,0.178,33,41208,0.374,,0.163
CO,Delta County,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,0.245,12.815,153.53,97.6,11.51,0.063,0.167,0.718,0.303,30483,0.016,0.632,0.086,34.4,317.8,,70.9,0.145,0.017,24.81,15.92,0.254,0.126,6966,0.178,36,41730,0.364,5,
CO,Denver County,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,583.49,87.6,13.26,0,0.211,0.691,0.323,634265,0.07,0,0.059,1222.5,386.2,7,80,0.182,0.064,10.56,25.42,0.226,0.104,8918,0.155,89,50455,0.64,9.2,0.223
CO,Denver County,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.422,0.386,10.5,598.21,84.4,13.26,0,0.21,0.696,0.326,649495,0.067,0,0.063,1222.5,361.4,6.9,64.8,0.173,0.064,9.13,25.29,0.223,0.094,8810,0.155,90,51156,0.568,7.3,
CO,Dolores County,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,48.62,,10.34,0,0.113,0.778,0.333,1994,0,1,0.071,,329.4,,,0.149,0.086,,,0.279,0.18,7197,,50,39254,0.362,,
CO,Dolores County,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.781,0.206,5.015,64.02,166.1,10.34,0,0.132,0.771,0.355,2029,0,1,0.075,,297.2,,,0.149,0.086,,,0.264,0.158,8523,,49,42416,0.307,,
CO,Douglas County,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144,,127.52,33.8,12.94,0,0.105,0.787,0.403,298215,0.011,0.103,0.041,43.8,178.3,4.2,32.3,0.095,0.016,6.68,6.35,0.093,0.047,9341,0.086,41,98426,0.082,1.25,0.121
CO,Douglas County,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.282,0.146,5.835,114.32,36.2,12.94,0.001,0.108,0.795,0.416,305963,0.01,0.103,0.045,43.8,169.3,3.9,27.7,0.099,0.016,5.42,7.87,0.091,0.044,9488,0.086,47,105192,0.083,1.5,
CO,Eagle County,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,123.88,42.9,12.57,0.051,0.236,0.705,0.224,51874,0.096,0.2,0.036,133.7,147.4,3.5,43.6,0.137,0.042,12.39,7.78,0.257,0.156,7820,0.175,46,69870,0.315,,0.212
CO,Eagle County,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.816,0.191,10.024,143.79,41.6,12.57,0.011,0.224,0.709,0.215,52460,0.087,0.2,0.041,133.7,148.7,3.7,43.3,0.127,0.042,10.34,7.55,0.251,0.138,7830,0.175,42,78517,0.365,,
CO,El Paso County,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,441.69,62.9,13.06,0.002,0.16,0.773,0.243,644964,0.018,0.089,0.059,146.9,296.2,7.7,63,0.152,0.087,9.88,13.41,0.186,0.084,8557,0.127,79,55312,0.272,4.2,0.162
CO,El Paso County,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.326,0.282,8.838,412.67,69.1,13.06,0.016,0.16,0.774,0.243,655044,0.018,0.089,0.065,146.9,291.4,7.6,57.6,0.157,0.087,9.19,14.12,0.181,0.088,8631,0.127,85,57072,0.288,4.4,
CO,Elbert County,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,,48.63,55.5,13.35,0.006,0.117,0.729,0.712,23383,0.004,1,0.051,41.4,255.3,,,0.097,0.065,16.49,10.15,0.146,0.112,8892,0.097,,81528,0.164,,0.132
CO,Elbert County,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.324,0.137,6.843,48.11,64.2,13.35,0,0.143,0.725,0.705,23733,0.006,1,0.053,41.4,235,,,0.102,0.065,13.74,10.62,0.14,0.1,8378,0.097,4,80972,0.164,,
CO,Fremont County,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,262.79,96.3,12.55,0,0.167,0.762,0.226,46788,0.027,0.264,0.085,306.9,387.7,6.8,59.7,0.161,0.104,13.72,18.6,0.205,0.104,7281,0.179,62,40809,0.394,4.57,0.197
CO,Fremont County,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,0.292,10.9,230.23,97.9,12.55,0,0.15,0.773,0.252,46451,0.029,0.264,0.084,306.9,365.8,7.4,55.2,0.162,0.104,14.29,16.42,0.191,0.095,7720,0.179,65,41412,0.399,4.5,
CO,Garfield County,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223,,,75.2,12.29,0.003,0.191,0.653,0.331,56953,0.073,0.241,0.05,78.4,257.7,5.6,53.2,0.137,0.048,21.25,11.83,0.281,0.168,7033,0.201,39,54088,0.342,,0.231
CO,Garfield County,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.742,0.227,9.833,146.6,75.8,12.29,0.018,0.199,0.668,0.311,57302,0.069,0.241,0.058,78.4,246.5,4.6,52.5,0.13,0.048,20.14,13.69,0.275,0.159,7598,0.201,44,57364,0.309,,
CO,Gilpin County,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387,,327.61,,13.18,0,0.17,0.726,0.546,5491,0.003,1,0.06,,276.4,,,0.125,0,,,0.107,0.084,7586,,55,61447,0.218,,0.171
CO,Gilpin County,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.056,0.356,5.463,296.61,41.1,13.18,0,0.195,0.757,0.523,5601,0,1,0.067,,248.9,,,0.126,0,,,0.115,0.077,6572,,54,64962,0.232,,
CO,Grand County,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,273.34,61.9,13.37,0,0.14,0.724,0.237,14195,0.013,0.826,0.055,87.2,205.2,,,0.125,0.043,13.01,,0.213,0.143,7766,0.149,28,56191,0.187,,0.121
CO,Grand County,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.249,0.238,16.203,257.14,54.7,13.37,0,0.138,0.687,0.223,14289,0.014,0.826,0.054,87.2,212,,,0.126,0.043,10.85,9.86,0.2,0.117,7419,0.149,35,57312,0.233,,
CO,Gunnison County,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,246.65,66.1,11.68,0.081,0.214,0.536,0.129,15475,0.015,0.586,0.043,45.7,211.4,,90.4,0.144,0.021,15.31,,0.262,0.144,7432,0.168,58,49861,0.175,,0.14
CO,Gunnison County,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.212,0.259,20.679,251.42,56,11.68,0.008,0.22,0.545,0.175,15507,0.017,0.586,0.048,45.7,204,,89.3,0.154,0.021,11.26,,0.235,0.132,6649,0.168,58,48391,0.197,,
CO,Huerfano County,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406,,192.63,149.5,12.82,0.015,0.239,0.658,0.233,6596,0.014,0.561,0.083,154.1,466.7,,,0.177,0.112,38.68,20.36,0.23,0.107,7461,0.242,106,31574,0.575,,
CO,Huerfano County,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.418,0.43,10.612,312.92,133.4,12.82,0.014,0.205,0.656,0.241,6519,0.012,0.561,0.087,154.1,447.9,,,0.163,0.112,45.93,22.96,0.243,0.11,7655,0.242,92,32418,0.574,,
CO,Jefferson County,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277,,237.63,59.7,13.02,0.001,0.147,0.78,0.379,545358,0.014,0.069,0.056,128.8,270.4,5.1,43.1,0.126,0.043,9.94,10.62,0.16,0.082,9117,0.102,48,67401,0.247,1.96,0.133
CO,Jefferson County,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.112,0.276,7.408,227.83,67.9,13.02,0.12,0.146,0.781,0.382,551798,0.013,0.069,0.058,128.8,261.2,5.4,38.3,0.127,0.043,8.96,12.13,0.152,0.073,9087,0.102,56,68161,0.248,1.8,
CO,Kiowa County,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.674,0.263,27.701,69.57,141.9,13.55,0.083,0.111,0.732,0.19,1423,0.002,1,0.085,,438,,,0.131,0.356,,,0.198,0.128,7852,,70,42378,0.276,,
CO,Kit Carson County,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,154.72,85.8,13.67,0.015,0.081,0.754,0.098,8094,0.036,0.487,0.073,,352.8,,,0.116,0.084,28.07,,0.279,0.174,8456,0.149,74,44059,0.364,,
CO,Kit Carson County,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.341,0.24,22.239,177.09,85.3,13.67,0.33,0.098,0.762,0.087,8037,0.031,0.487,0.086,,375.4,,,0.126,0.084,29.82,,0.251,0.15,9260,0.149,75,39633,0.388,,
CO,La Plata County,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,,424.8,77.8,10.76,0.048,0.172,0.676,0.24,52401,0.008,0.599,0.055,78.4,231.8,,55.4,0.126,0.044,19.71,10.73,0.229,0.128,6784,0.133,78,55888,0.234,3.77,0.151
CO,La Plata County,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,0.286,10.114,,77.4,10.76,0.051,0.178,0.688,0.23,53284,0.007,0.599,0.056,78.4,233,,50.3,0.132,0.044,20.85,14.37,0.223,0.123,7043,0.133,92,58675,0.261,4.9,
CO,Lake County,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404,,272.24,95,12.12,0,0.22,0.562,0.335,7338,0.057,0.311,0.049,,305.6,,,0.175,0.265,23.25,,0.313,0.167,9158,0.28,68,45504,0.53,,
CO,Lake County,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.978,0.389,14.99,273.83,100.1,12.12,0,0.196,0.59,0.369,7306,0.061,0.311,0.052,,270,,,0.143,0.265,25.18,,0.298,0.132,8351,0.28,82,47547,0.455,,
CO,Larimer County,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,,235.66,53.1,13.76,0.032,0.187,0.754,0.246,310487,0.014,0.117,0.05,76,236.8,5,42.9,0.135,0.051,9.34,12.99,0.174,0.083,8282,0.123,64,56132,0.24,1.9,0.132
CO,Larimer County,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.563,0.234,8.986,222.7,56.8,13.76,0.031,0.186,0.756,0.246,315988,0.013,0.117,0.053,76,232.1,4.8,37.9,0.14,0.051,8.45,14.25,0.172,0.076,8164,0.123,73,59337,0.26,1.7,
CO,Las Animas County,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,,154.77,113.4,12.9,0.004,0.187,0.741,0.235,14945,0.017,0.408,0.075,104.6,436.7,,105.5,0.154,0.149,31.93,15.51,0.225,0.113,7902,0.18,27,38713,0.38,11.86,0.21
CO,Las Animas County,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.076,0.334,14.721,136.58,120.7,12.9,0.008,0.192,0.755,0.241,14446,0.018,0.408,0.081,104.6,440.5,,103.1,0.148,0.149,27.66,21.21,0.205,0.108,8328,0.18,42,38547,0.352,13.5,
CO,Lincoln County,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236,,142.03,87.7,13.65,0,0.112,0.692,0.155,5453,0.056,1,0.076,167.5,318.9,,,0.123,0.068,25.8,,0.218,0.146,8239,,238,38098,0.288,,
CO,Lincoln County,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.237,0.273,12.837,151.63,113.7,13.65,0,0.127,0.732,0.179,5430,0.05,1,0.086,167.5,334.8,,,0.134,0.068,33.96,,0.198,0.108,9655,,184,41510,0.352,,
CO,Logan County,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,224.6,62,13.6,0.778,0.123,0.764,0.135,22631,0.023,0.292,0.068,29.7,304.1,,75.9,0.133,0.061,18.08,9.69,0.22,0.13,8301,0.11,53,42740,0.351,,0.207
CO,Logan County,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.351,0.305,13.698,208.01,61.3,13.6,0.775,0.129,0.745,0.149,22450,0.019,0.292,0.075,29.7,306.4,,72.6,0.14,0.061,10.85,11.49,0.215,0.108,8007,0.11,62,43561,0.341,,
CO,Mesa County,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275,,292.46,80.9,11.57,0.121,0.155,0.784,0.164,147848,0.013,0.127,0.066,72.9,337,5.3,41.1,0.145,0.088,16.4,12.68,0.212,0.103,6820,0.163,65,46940,0.353,3.09,0.156
CO,Mesa County,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.382,0.307,8.928,297.54,88,11.57,0.117,0.16,0.787,0.161,147554,0.013,0.127,0.076,72.9,337,4.3,49.3,0.147,0.088,15.2,15.4,0.203,0.09,6870,0.163,74,48108,0.354,4.2,
